epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,21386.9,0.54869,0.57886,0.35534,0.92217,0,0.97861,0.97094,0.99129,0.88261,0.33062,0.28565,0.16905,0.0478,0.48342,0.38339,0.23997,0.96993,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,21806.2,0.54876,0.57879,0.35538,0.92386,0,0.97856,0.97103,0.99134,0.8835,0.33232,0.28719,0.17034,0.04817,0.48276,0.38307,0.23951,0.96958,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,22222.6,0.54538,0.57915,0.35451,0.92116,0,0.97849,0.97094,0.99153,0.88463,0.33274,0.28773,0.1705,0.04857,0.48219,0.38285,0.23907,0.96924,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,22640.3,0.54216,0.574,0.35128,0.92046,0,0.97817,0.97104,0.9915,0.88431,0.33482,0.28929,0.17191,0.04827,0.48151,0.38251,0.23859,0.96879,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,23058,0.54216,0.57724,0.35098,0.92019,0,0.97815,0.97122,0.99152,0.88501,0.33683,0.29064,0.17457,0.04893,0.48073,0.38219,0.23841,0.96837,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,23477.9,0.53863,0.57193,0.34782,0.91948,0,0.97815,0.9713,0.99157,0.88458,0.33688,0.29029,0.17353,0.0494,0.48021,0.3819,0.23791,0.96818,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,23897.3,0.53687,0.57245,0.34779,0.91911,0,0.97857,0.97181,0.99161,0.88511,0.33688,0.29114,0.17418,0.04948,0.4799,0.38162,0.23749,0.96822,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,24315.3,0.53124,0.56594,0.34293,0.91708,0,0.97837,0.97199,0.99165,0.88492,0.33889,0.29291,0.17866,0.05048,0.47933,0.38132,0.23702,0.96795,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,24730.6,0.53419,0.57278,0.34533,0.91744,0,0.97847,0.97172,0.99166,0.88545,0.33972,0.29344,0.1796,0.05063,0.47875,0.38104,0.2365,0.96768,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,25158.5,0.43401,0.39517,0.234,0.88747,0,0.97867,0.97139,0.99164,0.88566,0.34035,0.29417,0.17938,0.05046,0.47806,0.38075,0.23595,0.96746,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,25567.7,0.42402,0.38931,0.22753,0.8843,0,0.97871,0.97146,0.99163,0.8857,0.34007,0.29406,0.1802,0.05096,0.47748,0.38043,0.23549,0.96723,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,25977.2,0.41899,0.38607,0.22527,0.88344,0,0.97944,0.97104,0.99166,0.8858,0.34212,0.29562,0.18231,0.05112,0.47685,0.38006,0.23488,0.96705,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,26386.5,0.41468,0.38386,0.22241,0.88062,0,0.97937,0.97073,0.99166,0.886,0.34307,0.29666,0.18303,0.05163,0.47629,0.37975,0.23436,0.9669,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,26796.2,0.4082,0.38033,0.21863,0.87777,0,0.98018,0.97011,0.99158,0.88618,0.34553,0.29842,0.18347,0.05173,0.47571,0.37953,0.23353,0.96669,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,27205.9,0.40573,0.37848,0.21711,0.8789,0,0.97982,0.97073,0.99162,0.88669,0.34696,0.29988,0.18499,0.05258,0.47504,0.37919,0.23296,0.9665,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
